dbname,size
allnew_lines,  1.47G
allnew_lines_Backup,379.84M
allprojects,647.45M
allprojects1,194.91M
allprojects1_Backup,156.69M
allprojects_Backup,402.42M
all_lines_OD_Backup,347.89M
all_lines_projects,  2G
all_lines_projects_Backup, 23.54M
beinironi,253.63M
matrix all projeccts,123.19M
matrix all projeccts_Backup, 58.62M
Nayim_le_yarok_3,774.54M
new_OD_line,598.47M
shutlle_shapirim,429.53M
shutlle_shapirim_Backup,141.27M
taplete-lines,471.38M
tapmlete-lines,  4.25M
uptodateprojects - template_Backup,  5.07M
uptodateprojects,458.2M
uptodateprojects_Backup,397.92M
validation haifa,107.29M
validation haifa_Backup,116.65M
validation road6 - Copy, 32.47M
validation road6, 32.47M
גל תכנון עירוני,778.06M
גל תכנון עירוני_Backup, 96.18M
מטריצה מוניציפאלית, 11.89M
מטריצה מוניציפאלית_Backup, 19.6M
